,url,headline,is_paid,date_published,channel,original_headline,newspaper,corona_score,vaccine
643,https://www.spiegel.de/panorama/justiz/frankreich-mediator-affaere-servier-wegen-toedlicher-pillen-verurteilt-a-c6f39588-9d58-46a4-9145-6ec7036cc8d3,frankreich pharmakonzern wegen tödlich appetitzügler millionenstrafe verurteilen,False,2021-03-29,Panorama,Frankreich Pharmakonzern wegen tödlicher Appetitzügler zu Millionenstrafe verurteilt,Der Spiegel,0.7142857142857143,n/a
644,https://www.spiegel.de/politik/deutschland/coronavirus-armin-laschet-widerspricht-angela-merkel-im-umgang-mit-oeffnungen-a-8d69a15f-a997-44bc-92ab-67afe45cdd75,streit länder kompetenzen laschet hans widersprechen merkel umgang öffnungen,False,2021-03-29,Politik,Streit über Länder Kompetenzen Laschet und Hans widersprechen Merkel im Umgang mit Öffnungen,Der Spiegel,1.0,n/a
645,https://www.spiegel.de/politik/deutschland/armin-laschet-bund-laender-runde-soll-kuenftig-nicht-mehr-digital-stattfinden-a-5604ab6a-a7c8-4355-83c3-11523e75ad82,vorschlag laschet bund länder runden künftig mehr digital stattfinden,False,2021-03-29,Politik,Vorschlag von Laschet Bund Länder Runde soll künftig nicht mehr digital stattfinden,Der Spiegel,1.0,n/a
646,https://www.spiegel.de/politik/deutschland/live-cdu-chef-armin-laschet-ueber-die-coronalage-a-e66f6deb-abae-457a-b351-70f27f3c940c,pressekonferenz armin laschet äußern cdu präsidiumssitzung,False,2021-03-29,Politik,Pressekonferenz Armin Laschet äußert sich nach CDU Präsidiumssitzung,Der Spiegel,0.8333333333333334,n/a
649,https://www.spiegel.de/netzwelt/apps/windows-95-bislang-unbekanntes-easteregg-entdeckt-nach-fast-26-jahren-a-04a74586-d121-49d4-9697-dbf8a354949e,fast 26 jahren bislang unbekannt easteregg windows 95 entdecken,False,2021-03-29,Netzwelt,Nach fast 26 Jahren Bislang unbekanntes Easteregg in Windows 95 entdeckt,Der Spiegel,0.6666666666666666,n/a
651,https://www.spiegel.de/wirtschaft/soziales/immobilien-in-diesen-staedten-fehlen-bezahlbare-wohnungen-a-47d7e12b-cc55-4963-9c87-6a5437ec549c,immobilienstudie städten fehlen bezahlbare wohnungen,False,2021-03-29,Wirtschaft,Immobilienstudie In diesen Städten fehlen bezahlbare Wohnungen,Der Spiegel,0.6,n/a
652,https://www.spiegel.de/kultur/literatur/asterix-und-der-greif-neuer-asterix-band-erscheint-im-oktober-a-2a680b72-4245-4460-896a-5859abd1e18e,asterix greif neu asterix band erscheinen oktober,False,2021-03-29,Kultur,Asterix und der Greif Neuer Asterix Band erscheint im Oktober,Der Spiegel,0.5714285714285714,n/a
655,https://www.spiegel.de/panorama/guetersloh-notarztwagen-erfasst-dreijaehrigen-junge-wird-schwer-verletzt-a-ab96ce2a-db97-4fa9-bee5-c9aa8104041b,gütersloh notarztwagen erfasst dreijährigen junge schwer verletzen,False,2021-03-29,Panorama,Gütersloh Notarztwagen erfasst Dreijährigen   Junge wird schwer verletzt,Der Spiegel,0.7142857142857143,n/a
657,https://www.spiegel.de/politik/deutschland/coronavirus-wie-angela-merkel-ohne-die-laender-ihre-corona-politik-verschaerfen-koennte-a-57877b8c-0709-4eb2-beae-d82f5623cc74,drohung kanzlerin merkel länder coronapolitik verschärfen,False,2021-03-29,Politik,Drohung der Kanzlerin Wie Merkel ohne die Länder ihre Coronapolitik verschärfen könnte,Der Spiegel,1.0,n/a
659,https://www.spiegel.de/politik/deutschland/migration-zahl-der-auslaender-um-1-8-prozent-gestiegen-a-cb1b146c-f3b9-4784-9f60-394181fb35d2,statistisch bundesamt zahl ausländer deutschland leicht steigen,False,2021-03-29,Politik,Statistisches Bundesamt Zahl der Ausländer in Deutschland leicht gestiegen,Der Spiegel,0.8571428571428571,n/a
