,url,original_headline,headline,date_published,channel,newspaper,vaccine,is_paid,corona_score
11104,https://www.spiegel.de/panorama/gesellschaft/corona-impfzentren-als-haetten-sie-einen-ice-duerften-aber-nur-mit-10-km-h-durch-das-land-zuckeln-a-ace994f4-4f91-4c55-9ecd-d0df7b8d98f8,impfzentren in deutschland als hätten sie einen ice dürften aber nur mit 10 km/h durch das land zuckeln,impfzentren deutschland  als haben ice dürfen 10 km / h land zuckeln ,2021-01-22,Panorama,Der Spiegel,impfzentren,,1.0
11229,https://www.spiegel.de/wissenschaft/medizin/corona-impfstoff-von-astrazeneca-soll-bei-senioren-kaum-wirksam-sein-hersteller-dementiert-a-97fbabb9-7f54-4b8d-9e81-917433aaada5,astrazeneca berichte über schwachen impfschutz bei senioren sind laut hersteller falsch,astrazeneca berichte schwach impfschutz senioren laut hersteller falsch,2021-01-26,Wissenschaft,Der Spiegel,astrazeneca,,1.0
11477,https://www.spiegel.de/panorama/gesellschaft/was-treibt-corona-leugner-und-impfskeptiker-an-a-e263c194-dd91-4969-9bcc-b39d600476c0,impfen nein danke was treibt coronaleugner und impfskeptiker an,impfen nein danke treiben coronaleugner impfskeptiker,2021-02-02,Panorama,Der Spiegel,impfen,,1.0
11649,https://www.spiegel.de/international/world/biontech-executive-on-new-vaccine-plant-it-will-take-a-few-months-before-we-reach-full-capacity-a-359055d1-5102-4d41-8f2e-75f676537018,biontech executive on new vaccine plant it will take a few months before we reach full capacity,biontech executive on new vaccine planen it take a few months before we reach full capacity,2021-02-08,International,Der Spiegel,biontech,,1.0
12054,https://www.spiegel.de/politik/deutschland/biontech-und-co-ein-glueck-dass-die-linke-die-milliardaere-noch-nicht-enteignet-hat-kolumne-a-00000000-0002-0001-0000-000175447337,biontech & co danke liebe reiche,biontech & co danke lieb reichen,2021-02-20,Politik,Der Spiegel,biontech,,1.0
12105,https://www.spiegel.de/wirtschaft/unternehmen/ikea-bietet-kunden-in-israel-corona-impfungen-an-a-c4fbe350-23d1-4944-a028-57adb9af66e8,von biontech oder astrazeneca ikea bietet kunden in israel coronaimpfungen an,biontech astrazeneca ikea bieten kunden israel coronaimpfungen,2021-02-22,Wirtschaft,Der Spiegel,biontech,,1.0
12368,https://www.spiegel.de/wirtschaft/biontech-astrazeneca-und-co-haende-weg-von-den-patenten-kolumne-a-e06d3d27-bd73-4b65-97af-82d0e2b1a6de,biontech und co hände weg von den impfstofflizenzen,biontech co hände impfstofflizenzen,2021-03-02,Wirtschaft,Der Spiegel,biontech,,1.0
12515,https://www.spiegel.de/wissenschaft/medizin/impfung-fuer-kita-und-schulpersonal-geschuetzt-zurueck-ins-klassenzimmer-a-ce63e29b-5f33-4c35-a6a8-b140a91d003a,impfung für kita und schulpersonal geschützt zurück ins klassenzimmer,impfung kita schulpersonal schützen zurück klassenzimmer,2021-03-06,Wissenschaft,Der Spiegel,impfung,,1.0
12652,https://www.spiegel.de/wissenschaft/medizin/astrazeneca-daenemark-setzt-coronaimpfungen-vorsichtshalber-aus-a-b6d1e7c1-2164-4648-a2e7-7b0bfdc513a3,astrazeneca dänemark setzt coronaimpfungen vorsichtshalber aus,astrazeneca dänemark setzen coronaimpfungen vorsichtshalber,2021-03-11,Wissenschaft,Der Spiegel,astrazeneca,,1.0
12707,https://www.spiegel.de/politik/ausland/astrazeneca-usa-streiten-ueber-impfstoff-exporte-nach-europa-a-3e5d9011-ad97-440f-82b7-bb82297b9d12,astrazeneca usa streiten über impfstoffexporte nach europa,astrazeneca usa streiten impfstoffexporte europa,2021-03-12,Politik,Der Spiegel,astrazeneca,,1.0
12867,https://www.spiegel.de/netzwelt/astrazeneca-wie-ein-hoffnungstraeger-zum-suendenbock-wurde-a-7bbbfebb-7254-4ad4-ba20-233db9c1b9c5,astrazeneca der stiefimpfstoff,astrazeneca stiefimpfstoff,2021-03-17,Netzwelt,Der Spiegel,astrazeneca,,1.0
12958,https://www.spiegel.de/gesundheit/diagnose/corona-impfung-mit-astrazeneca-wenn-die-corona-impfung-zur-nutzen-schaden-rechnung-wird-a-91c56f97-e513-4acf-af0b-14b140715ea1,astrazeneca schutz geht vor schaden,astrazeneca schutz gehen schaden,2021-03-19,Gesundheit,Der Spiegel,astrazeneca,,1.0
12967,https://www.spiegel.de/panorama/gesellschaft/mit-astrazeneca-geimpft-ich-wuerde-es-wieder-machen-a-ba07a7bb-27f3-4a8d-8d98-f6373e821306,geimpft mit astrazeneca ich würde es wieder machen,impfen astrazeneca  ich machen ,2021-03-20,Panorama,Der Spiegel,impfen,,1.0
13373,https://www.spiegel.de/wissenschaft/medizin/corona-impfstoff-hausaerztin-impft-in-ihrer-praxis-a-65592ead-03ac-4489-953e-9c67d49dec14,Impfen in der Hausarztpraxis Da hat man Tränen in den Augen,impfen hausarztpraxis tränen augen,2021-03-28,Wissenschaft,Der Spiegel,impfen,False,1.0
13471,https://www.spiegel.de/politik/deutschland/bund-und-laender-beraten-am-abend-zu-astrazeneca-a-3fefd6e6-4589-474d-9ccf-6ce0530b76db,AstraZeneca Krise Kanzlerin Merkel will noch am Abend mit den Länderchefs beraten,astrazeneca krise kanzlerin merkel abend länderchefs beraten,2021-03-30,Politik,Der Spiegel,astrazeneca,False,1.0
13599,https://www.spiegel.de/gesundheit/astrazeneca-geimpfte-erzaehlen-wie-sie-ueber-den-corona-impfstopp-denken-a-660521f5-83da-42a4-8647-bf2749637b4d,AstraZeneca Geimpfte unter 60 Ich habe mehr Angst vor Long Covid als vor Nebenwirkungen,astrazeneca geimpft 60 mehr angst long covid nebenwirkungen,2021-04-01,Gesundheit,Der Spiegel,astrazeneca,False,1.0
13775,https://www.spiegel.de/panorama/wismar-grosser-andrang-bei-impfung-ohne-termin-a-21cfd216-c0f7-4863-a374-86451546d964,AstraZeneca Aktion Impfung ohne Termin   großer Andrang in Wismar,astrazeneca aktion impfung termin groß andringen wismar,2021-04-05,Panorama,Der Spiegel,astrazeneca,False,1.0
13910,https://www.spiegel.de/politik/ausland/corona-impfungen-das-virus-macht-keinen-unterschied-europa-schon-a-e7bc8dbf-30a0-49db-8e8f-25ac00c72bf0,Impfung von Randgruppen Das Virus macht keinen Unterschied die Gesellschaft schon,impfung randgruppen virus machen unterscheiden gesellschaft schon,2021-04-08,Politik,Der Spiegel,impfung,False,1.0
