,title,subtitle,date_published,url,is_paid
17,"
							Warum Budapest Berlin einen „imperialen Tonfall“ vorwirft
			        ","
						„Aushungern“ oder „schmerzen“: Ungarn rügt Deutschland im Einsatz für mehr Rechtsstaatlichkeit für zu heftiges Vokabular – und kontert mit Geschehnissen aus dem Zweiten Weltkrieg.
					",2020-10-16T11:00:53+0200,https://www.faz.net/premiumContent?contentId=1.7001807,false
18,"
							Machtspiele der Big Six
			        ","
						Die Klubs der Premier League haben eine radikale Ligareform abgelehnt. Die Bosse von Liverpool und Manchester United sind dennoch zufrieden. Ein Zeichen dafür, dass das letzte Wort noch nicht gesprochen ist?
					",2020-10-16T10:37:18+0200,https://www.faz.net/suche/premier-league-bekommen-die-grossen-klubs-mehr-macht-17003739.html,true
19,"
							Mats Hummels zurück zur Nationalmannschaft?
			        ","
						Nach den Auftritten mit Abwehrschwächen der deutschen Nationalmannschaft werden Rufe nach einem Comeback von Mats Hummels im DFB-Team lauter. Nun äußert sich BVB-Sportdirektor Michael Zorc vielsagend.
					",2020-10-16T10:35:48+0200,https://www.faz.net/premiumContent?contentId=1.7004602,false
20,"
							Zahl der Corona-Infektionen auf neuem Rekordwert
			        ","
						In der Corona-Pandemie explodieren die Infektionszahlen in Deutschland: Das Robert-Koch-Institut meldet 7334 weitere Fälle binnen eines Tages - das ist der höchste Wert in Deutschland seit Beginn der Pandemie. 
					",2020-10-16T10:34:28+0200,https://www.faz.net/suche/zahl-der-corona-infektionen-in-deutschland-auf-neuem-rekordwert-17005084.html,false
21,"
							Auf einmal Zeit für Hund und Katz
			        ","
						Monatelang saß die halbe Republik im Homeoffice. Möglicherweise ist auch deshalb die Nachfrage nach Haustieren gestiegen.
					",2020-10-16T10:30:32+0200,https://www.faz.net/premiumContent?contentId=1.7003928,false
22,"
							Streecks heikle Sprechstunden
			        ","
						Wer redet schon gerne über den Tod? Corona-Dauertalker Hendrik Streeck hat sich mit einer unwürdigen Bemerkung zu den Sterbezahlen durch Covid-19 ins ärztliche Abseits gestellt und sich fast schon unsterblich gemacht.  
					",2020-10-16T10:09:10+0200,https://www.faz.net/premiumContent?contentId=1.7003534,false
23,"
							Daimler überrascht mit Gewinn von mehr als 3 Milliarden Euro
			        ","
						Von der Autoindustrie erwartet die Börse schon lang nicht mehr viel Gutes. Die Lage ist aber viel besser, zumindest bei Mercedes.
					",2020-10-16T10:05:46+0200,https://www.faz.net/premiumContent?contentId=1.7004587,false
24,"
							Ausländische Forscher zieht es nach Berlin und München
			        ","
						Gut im Wettbewerb um Gastwissenschaftler schneiden auch Göttingen, Bremen, Bonn oder Konstanz ab. Auf die Fachbereiche bezogen wird die Liste noch breiter.
					",2020-10-16T09:58:42+0200,https://www.faz.net/premiumContent?contentId=1.7004634,false
25,"
							Trinken für eine bessere Welt
			        ","
						Es wird oft verschmäht: Das „Knärzje“, das Endstück vom Brotlaib. Für den Unternehmer Anthes ist es die Basis seiner Geschäftsidee. Er will mit Bier aus Brot die globale Lebensmittelverschwendung bekämpfen.
					",2020-10-16T09:50:15+0200,https://www.faz.net/premiumContent?contentId=1.7002298,false
26,"
							Polizeigewerkschaft will Verschiebung der Castortransporte wegen Corona
			        ","
						Die Gewerkschaft der Polizei fordert, den geplanten Castortransport wegen der Corona-Pandemie abzusagen. Gesundheitsschutz müsse Priorität haben. Ziel soll das Zwischenlager Biblis sein.
					",2020-10-16T09:35:53+0200,https://www.faz.net/premiumContent?contentId=1.7004514,false
