,title,subtitle,date_published,url,is_paid
0,"
							EuGH stuft ungarische Transitzone für Asylbewerber als „Haft“ ein
			        ","
						Die Bedingungen im Container-Lager Röszke an der ungarisch-serbischen Grenze glichen einer Inhaftierung, urteilten die Luxemburger Richter. Hintergrund ist der Fall von vier Asylbewerbern aus Afghanistan und Iran, die dort untergebracht sind. 
					",2020-05-14T10:24:03+0200,https://www.faz.net/premiumContent?contentId=1.6769082,false
1,"
							Trump fordert Öffnung der Schulen im Herbst
			        ","
						Der amerikanische Präsident geht weiter auf Distanz zu seinem Corona-Berater. Anthony Fauci hat davor gewarnt, bald wieder mit dem Schulbetrieb zu beginnen. Trump nennt die Mahnung „inakzeptabel“. Das Virus wirke sich „sehr wenig“ auf jüngere Menschen aus.
					",2020-05-14T10:03:14+0200,https://www.faz.net/premiumContent?contentId=1.6768841,false
2,"
							Endlich wieder Schule
			        ","
						Die Schulen in Hessen öffnen, teilweise mit nur wenigen Präsenztagen. Das wird zu Aufregung und Organisationschaos führen. Trotzdem ist die Entscheidung für ein vorsichtiges Zurück zum Alltag richtig.
					",2020-05-14T09:55:00+0200,https://www.faz.net/premiumContent?contentId=1.6768290,false
3,"
							Gesundheitsämter mit Kontaktverfolgung überfordert
			        ","
						Zahlreiche Gesundheitsämter haben nicht genug Mitarbeiter, um die Kontaktpersonen von Corona-Infizierten so nachzuverfolgen wie gewünscht. Das zeigt eine Umfrage. Bei der Kontrolle häuslicher Quarantäne soll eine App entlasten. 
					",2020-05-14T09:47:13+0200,https://www.faz.net/premiumContent?contentId=1.6768968,false
4,"
							Bundestag berät über weitere Corona-Hilfen
			        ","
						Pflegebonus, mehr Corona-Tests, bessere Ausstattung der Gesundheitsämter: Das sind zentrale Punkte des neuen Infektionsschutzgesetzes. Der Immunitätsausweis ist nicht mehr Teil des Pakets. Doch Gesundheitsminister Spahn wirbt weiter dafür.
					",2020-05-14T09:33:57+0200,https://www.faz.net/premiumContent?contentId=1.6768856,false
5,"
							Im Wispertal soll ein Urwald wachsen
			        ","
						Die kleine Kommune im Untertaunus überlässt einen Teil ihres Forstes sich selbst. Das Projekt dient dem Naturschutz – und tut auch dem Gemeindesäckel gut.
					",2020-05-14T09:32:42+0200,https://www.faz.net/premiumContent?contentId=1.6767078,false
6,"
							Nur noch ein paar Mal in die Schule
			        ","
						In sieben Wochen beginnen in Hessen die Sommerferien. Manche Kinder haben bis dahin nur noch an weniger als zehn Tagen Unterricht. Nicht alle Eltern finden das falsch. 

					",2020-05-14T09:31:00+0200,https://www.faz.net/suche/corona-oeffnungen-schule-bis-zu-den-sommerferien-16768260.html,true
7,"
							Joko und Klaas werfen Schlaglicht auf Übergriffe gegen Frauen
			        ","
						Joko Winterscheidt und Klaas Heufer-Umlauf haben sich bei ProSieben mal wieder 15 Minuten freie Sendezeit erspielt. Die Bühne überließen sie diesmal prominenten Frauen, die von sexueller Belästigung berichteten. 
					",2020-05-14T09:28:23+0200,https://www.faz.net/premiumContent?contentId=1.6769004,false
8,"
							Startbeschleunigung mit Tücken
			        ","
						Die Digitalisierung unter Corona-Bedingungen hat viele Versäumnisse der vergangenen Jahre offengelegt. Nun stellt sich die Frage: Welche Form von Distanzlernen ist überhaupt sinnvoll? Ein Gastbeitrag.
					",2020-05-14T09:17:12+0200,https://www.faz.net/suche/digitaler-unterricht-startbeschleunigung-mit-tuecken-16767666.html,true
9,"
							Es wird weniger gemordet
			        ","
						Oh wie schön ist Corona: Bei so viel Stille schlafe ich besser, das Morden auf den Straßen hat aufgehört und im Supermarkt sind alle sehr nett zu mir. 

					",2020-05-14T09:06:02+0200,https://www.faz.net/premiumContent?contentId=1.6767909,false
